unique_id,channel_name,category,sub_category,customer_remarks,order_date_time,issue_reported_at,issue_responded,Survey_response_Date,Product_category,Item_price,Agent_name,Supervisor,Manager,tenure_bucket,agent_shift,CSAT_Score,response_time_minutes
001c68cb-2b3d-47d3-9eeb-135ac6d73904,Inbound,Returns,"Service Centres Related",,,"2023-08-01 16:11:00","2023-08-01 16:44:00",01-Aug-23,,,"John Robinson","Nathan Patel","Michael Lee",>90,Afternoon,5,33
0021c8f6-ead5-4865-b414-90cb770cf786,Inbound,"Refund Related","Refund Related Issues",,,"2023-08-01 09:01:00","2023-08-01 09:02:00",01-Aug-23,,,"Mrs. Jennifer Stone","Dylan Kim","Michael Lee",>90,Morning,4,1
0028891e-2aa0-491a-9bac-46165a6c2849,Inbound,Returns,"Reverse Pickup Enquiry","Should be an option to connect to customer service executive with few clicks only.",,"2023-08-02 21:19:00","2023-08-02 21:23:00",02-Aug-23,,,"Shannon Hicks","Aiden Patel","Olivia Tan",>90,Morning,5,4
00678dee-26aa-4fb4-9553-af1abd6cd947,Inbound,Returns,"Reverse Pickup Enquiry",,,"2023-08-01 19:45:00","2023-08-01 20:16:00",01-Aug-23,,,"David Smith","Nathan Patel","John Smith",>90,Split,5,31
008c18c6-8c84-4bc2-907f-66c4f0e3d82e,Inbound,"Order Related",Delayed,,,"2023-08-01 21:30:00","2023-08-01 21:48:00",01-Aug-23,,,"Richard Ortiz","Emily Yamashita","Michael Lee",>90,Morning,1,18
00afbff1-3101-461f-bbc7-dba0abab2197,Inbound,Returns,"Reverse Pickup Enquiry",,"28/07/2023 22:09","2023-07-31 21:00:00","2023-08-02 21:07:00",02-Aug-23,Electronics,220,"Catherine Gibson","Evelyn Kimura","Jennifer Nguyen","On Job Training",Evening,1,2887
00b6be46-3749-43f4-8d1c-0ab38e285d77,Inbound,Returns,"Reverse Pickup Enquiry",,,"2023-08-01 09:06:00","2023-08-01 09:10:00",01-Aug-23,,,"Veronica Choi","Noah Patel","Michael Lee",31-60,Night,5,4
00dd413b-d808-4a75-b08b-54e0d298c160,Inbound,Cancellation,"Not Needed","Good ","20/07/2023 21:36","2023-08-01 14:15:00","2023-08-01 15:13:00",01-Aug-23,Mobile,32999,"Lisa Lawrence","Abigail Suzuki","Jennifer Nguyen","On Job Training",Morning,5,58
00df431a-b184-417a-ae49-c4feb6bd00bb,Inbound,Returns,"Return request","Good ",,"2023-08-02 20:01:00","2023-08-02 20:16:00",02-Aug-23,,,"Jacob Hendricks","Logan Lee","Emily Chen",61-90,Evening,5,15
00e2b04d-73e6-48a3-9229-a9b09693a22a,Inbound,"Order Related","Order status enquiry",,,"2023-08-01 18:39:00","2023-08-01 20:02:00",01-Aug-23,,,"Stacy Washington","Emily Yamashita","Michael Lee",>90,Morning,5,83
00f12ac8-b428-4d3e-a449-f88ee4885f18,Inbound,"Order Related","Customer Requested Modifications",,,"2023-08-02 18:37:00","2023-08-02 18:43:00",02-Aug-23,,,"Matthew Callahan","Evelyn Kimura","Jennifer Nguyen","On Job Training",Evening,5,6
01053d6c-8497-472e-adc5-2a85af563936,Outcall,Returns,"Return request",,,"2023-08-02 15:40:00","2023-08-02 16:05:00",02-Aug-23,,,"Chad Burns","Ava Wong","William Kim","On Job Training",Evening,5,25
012831c2-984c-4337-aa03-0a6a70a05815,Inbound,"Order Related",Delayed,no,"21/07/2023 22:15","2023-08-01 16:15:00","2023-08-01 18:09:00",01-Aug-23,"Books & General merchandise",1325,"John Nelson","Layla Taniguchi","Emily Chen",>90,Morning,2,114
012c5fb1-b99c-4c27-bc26-c12dfbf6f853,Inbound,Returns,"Fraudulent User","Tq ","03/07/2023 13:44","2023-08-01 10:38:00","2023-08-01 10:45:00",01-Aug-23,LifeStyle,925,"Jennifer Vazquez","Mason Gupta","Jennifer Nguyen","On Job Training",Morning,5,7
012f2a17-fa18-42cd-8378-68ff9fa4a337,Outcall,"Refund Related","Refund Enquiry","  sake utna       par    ","26/07/2023 10:19","2023-08-01 14:46:00","2023-08-01 14:51:00",01-Aug-23,Electronics,1299,"Stacy Singh","Aiden Patel","John Smith",>90,Morning,4,5
01314c3a-ed71-4b59-971e-21edd5a414ee,Inbound,"Order Related",Delayed,"Note good ",,"2023-08-02 09:54:00","2023-08-02 09:57:00",02-Aug-23,,,"Jessica Nixon","Harper Wong","Emily Chen",>90,Split,1,3
01390a7e-d4f8-47b8-b5ac-6b940d5a13f6,Inbound,"Order Related","Order status enquiry","I like this one",,"2023-08-02 20:09:00","2023-08-02 20:10:00",02-Aug-23,,,"Christopher Jones","Evelyn Kimura","Jennifer Nguyen","On Job Training",Evening,5,1
01426514-f345-4065-8936-1e6f5b705a66,Outcall,"Order Related",Delayed,,"26/07/2023 20:17","2023-08-02 19:57:00","2023-08-02 20:01:00",02-Aug-23,"Books & General merchandise",349,"Kristin Adams","Zoe Yamamoto","John Smith",31-60,Afternoon,5,4
01452a6b-b80c-42b0-aa7b-585cc078089c,Inbound,"Order Related","Priority delivery",,,"2023-08-02 19:20:00","2023-08-02 21:09:00",02-Aug-23,,,"Angela Reid","Carter Park","Jennifer Nguyen","On Job Training",Evening,5,109
014ce23a-b58c-4320-b21c-530ef609f82e,Inbound,"Order Related","General Enquiry",,"29/07/2023 19:00","2023-08-02 20:30:00","2023-08-02 20:31:00",02-Aug-23,Electronics,1233,"Gina Henderson","Olivia Wang","Emily Chen",31-60,Evening,1,1
01588a40-706f-49cc-ad93-f784e475a5e2,Inbound,Returns,"Reverse Pickup Enquiry",,,"2023-08-02 20:49:00","2023-08-02 20:55:00",02-Aug-23,,,"Allen Bowers","Olivia Wang","John Smith",>90,Evening,5,6
015e8d62-3a0f-422c-a97d-5940ed18fd08,Inbound,Returns,"Reverse Pickup Enquiry",,,"2023-08-03 12:29:00","2023-08-03 12:33:00",03-Aug-23,,,"Melissa Castillo","Elijah Yamaguchi","Michael Lee",>90,Night,5,4
